"DOI","Error"
"10.13982/j.mfst.1673-9078.2020.4.010","DOI not in crossref"
"10.22092/ijfs.2018.119513","Invalid DOI"
"10.3897/neobiota.65.58380","Invalid DOI"
"10.15376/biores.14.3.6088-6099","Invalid DOI"
"10.18488/journal.aefr.2019.94.517.530","Invalid DOI"
"10.3390/su1101935","Invalid DOI"
"10.17170/kobra-20191212867","DOI not in crossref"
"10.22037/afb.v%vi%i.23958","Invalid DOI"
"10.3864/j.issn.0578-1752.2019.10.013","DOI not in crossref"
"10.17957/IJAB/15.0854","Invalid DOI"
"10.1016/j.smalktunres.2019.07.008","Invalid DOI"
"10.15376/biores.14.3.6088-6099","Invalid DOI"
