Repository,Items,Published Version,Accepted Version,Submitted Version,Null
EVASTAR-Karlsruhe.de,1,1,0,0,0
HAL,11,7,0,4,0
RePEc,7,4,0,3,0
academiccommons.columbia.edu,1,1,0,0,0
ageconsearch.umn.edu,2,2,0,0,0
arXiv.org,1,0,0,1,0
archive.ugent.be,1,1,0,0,0
centaur.reading.ac.uk,3,0,3,0,0
cora.ucc.ie,1,1,0,0,0
dialnet.unirioja.es,1,0,0,1,0
digital.csic.es,9,7,0,2,0
digital.library.adelaide.edu.au,1,1,0,0,0
digitalcommons.uri.edu,2,2,0,0,0
digitalcommons.usu.edu,2,2,0,0,0
discovery.dundee.ac.uk,2,1,0,1,0
doc.rero.ch,5,3,0,2,0
dora,1,1,0,0,0
dro.dur.ac.uk.OAI2,3,0,3,0,0
dugi-doc,3,3,0,0,0
eprint.ncl.ac.uk,1,1,0,0,0
eprints.lancs.ac.uk,2,0,2,0,0
eprints.lincoln.ac.uk,1,0,1,0,0
eprints.qut.edu.au,2,2,0,0,0
eprints.ucl.ac.uk.OAI2,4,4,0,0,0
eprints.utas.edu.au,1,0,1,0,0
eprints.whiterose.ac.uk,4,1,3,0,0
epubs.surrey.ac.uk,1,0,1,0,0
escholarship.org,2,1,0,1,0
europepmc.org,113,112,1,0,0
figshare.com,1,1,0,0,0
gala.gre.ac.uk,1,0,1,0,0
hau.collections.crest.ac.uk,1,0,1,0,0
helda.helsinki.fi,1,1,0,0,0
http,2,0,2,0,0
ir.canterbury.ac.nz,3,2,0,1,0
jdc.jefferson.edu,1,1,0,0,0
jupiter.its.unimelb.edu.au,15,14,0,1,0
jurnal.ugm.ac.id,1,1,0,0,0
kops.uni-konstanz.de,6,4,0,2,0
library.wur.nl,2,2,0,0,0
macau.uni-kiel.de,1,1,0,0,0
mdpi.com,5,5,0,0,0
mediatum.ub.tum.de,1,1,0,0,0
mural.maynoothuniversity.ie,1,0,1,0,0
nora.nerc.ac.uk,5,0,5,0,0
ntnuopen.ntnu.no,1,1,0,0,0
oai.bibliothek.uni-kassel.de,1,1,0,0,0
orbi.ulg.ac.be,2,2,0,0,0
oro.open.ac.uk,1,0,1,0,0
osti.gov,1,0,0,1,0
ourarchive.otago.ac.nz,2,1,0,1,0
plymsea.ac.uk,1,0,1,0,0
psasir.upm.edu.my,1,0,1,0,0
publicatio.bibl.u-szeged.hu,1,0,1,0,0
publications.jrc.ec.europa.eu,1,0,0,1,0
pure.atira.dk,5,4,0,1,0
pure.ed.ac.uk,3,1,0,2,0
pure.iiasa.ac.at,1,0,1,0,0
pure.qub.ac.uk,3,3,0,0,0
qspace.qu.edu.qa,1,0,0,1,0
real.mtak.hu,1,0,1,0,0
refubium.fu-berlin.de,3,3,0,0,0
repositori.irta.cat,1,1,0,0,0
repositorio.ul.pt,2,2,0,0,0
repository.essex.ac.uk,1,0,1,0,0
repository.rothamsted.ac.uk,4,2,0,2,0
research-repository.st-andrews.ac.uk,1,1,0,0,0
research.bangor.ac.uk,1,1,0,0,0
researcharchive.lincoln.ac.nz,263,217,2,44,0
researchcommons.waikato.ac.nz,1,1,0,0,0
ricerca.uniba.it,1,1,0,0,0
rid.unrn.edu.ar,1,1,0,0,0
sdu.dk,1,1,0,0,0
semanticscholar.org,40,0,0,40,0
sro.sussex.ac.uk,2,0,2,0,0
t-stor.teagasc.ie,1,1,0,0,0
tara.tcd.ie,1,1,0,0,0
tsukuba.repo.nii.ac.jp,1,1,0,0,0
univoak.eu,1,1,0,0,0
urm_publish,1,0,1,0,0
vtechworks.lib.vt.edu,1,1,0,0,0
vubissmart,1,1,0,0,0
wrap.eprints.org,1,0,1,0,0
www.repo.uni-hannover.de,1,1,0,0,0
www.repository.cam.ac.uk,1,1,0,0,0
www.research-collection.ethz.ch,2,2,0,0,0
zenodo.org,8,8,0,0,0
